"NTNU 194847 Filmvitenskap","Alle"
"NTNU 194851 Medievitenskap",38.5
"NTNU 194852 Pedagogikk",35
"NTNU 194855 Bioteknologi master",52.6
"NTNU 194857 Fysikk",52.7
"NTNU 194859 Geologi",47.2
"NTNU 194860 Kjemi",49.2
"NTNU 194862 Matematiske fag",49.8
"NTNU 194868 Afrikastudier","Alle"
"NTNU 194870 Europastudier med fremmedspraak engelsk",42.4
"NTNU 194875 Politisk oekonomi",44.4
"NTNU 194876 Psykologi",46.7
"NTNU 194879 Sosialantropologi",37.5
"NTNU 194880 Sosiologi",39.3
"NTNU 194881 Statsvitenskap",44.6
"NTNU 194887 Engelsk",35.6
"NTNU 194888 Fransk","Alle"
"NTNU 194889 Nordisk","Alle"
"NTNU 194890 Tysk","Alle"
"NTNU 194898 Samfunnsoekonomi",43.9
"NTNU 194901 Spraaklig kommunikasjon","Alle"
"NTNU 194904 Kulturminneforvaltning","Alle"
"NTNU 194905 Ingenioervitenskap og IKT",52.0
"NTNU 194910 Religionsvitenskap aarsstudium","Alle"
"NTNU 194912 Spansk aarsstudium",36.9
"NTNU 194929 Religionsvitenskap","Alle"
"NTNU 194930 Fonetikk","Alle"
"NTNU 194932 Klassisk spraak og litteratur","Alle"
"NTNU 194934 Lektorutdanning i geografi",46.3
"NTNU 194937 Nanoteknologi",61.9
"NTNU 194941 Psykologi profesjonsstudiet",55.2
"NTNU 194945 Lektorutdanning i samfunnsfag",48.4
"NTNU 194946 Tekniske geofag",51.5
